oe_number,oe_position,oe_correct,oe_side,oe_type
1,"[-.2,0]",m,left,odd
3,"[-.2,0]",m,left,odd
5,"[-.2,0]",m,left,odd
7,"[-.2,0]",m,left,odd
1,"[.2,0]",z,right,odd
3,"[.2,0]",z,right,odd
5,"[.2,0]",z,right,odd
7,"[.2,0]",z,right,odd
2,"[-.2,0]",z,left,even
4,"[-.2,0]",z,left,even
6,"[-.2,0]",z,left,even
8,"[-.2,0]",z,left,even
2,"[.2,0]",m,right,even
4,"[.2,0]",m,right,even
6,"[.2,0]",m,right,even
8,"[.2,0]",m,right,even
