oe_number,oe_position,oe_correct,oe_side,oe_type
1,"[-.3,0]",m,left,odd
3,"[-.3,0]",m,left,odd
5,"[-.3,0]",m,left,odd
7,"[-.3,0]",m,left,odd
1,"[.3,0]",z,right,odd
3,"[.3,0]",z,right,odd
5,"[.3,0]",z,right,odd
7,"[.3,0]",z,right,odd
