decimal_block,decimal_number_type,decimal_leftStim,decimal_rightStim,decimal_decimals,decimal_Diff,decimal_corAns,decimals_condition_File,Sim_session
practice,practice,0.4,0.6,0.4          0.6',0.2,m,Practice_Stimuli_Decimals,2018_Controls_Post
practice,practice,0.7,0.5,0.7          0.5',0.2,z,Practice_Stimuli_Decimals,2018_Controls_Post
practice,practice,0.2,0.4,0.2          0.4',0.2,m,Practice_Stimuli_Decimals,2018_Controls_Post
practice,practice,0.9,0.7,0.9          0.7',0.2,z,Practice_Stimuli_Decimals,2018_Controls_Post
